City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Careaçu,-22.0431,-45.6992,71.55,73,99,0.92,BR,1631358901
Sint-Martens-Lennik,50.8116,4.1697,67.42,86,100,11.68,BE,1631358901
Rivolta d'Adda,45.4702,9.5115,82.35,49,0,4.61,IT,1631358905
Longyan,25.1072,117.0225,81.0,73,51,3.91,CN,1631358907
Holešov,49.3333,17.5783,80.17,49,5,5.86,CZ,1631358907
Macon,39.8667,-88.9668,67.86,77,1,11.5,US,1631358908
Pilar,-9.5972,-35.9567,80.53,69,79,6.51,BR,1631358909
Lagonglong,8.8072,124.7903,80.89,78,99,1.5,PH,1631358910
Springfield,37.2153,-93.2982,72.03,80,1,7.0,US,1631358261
Brugine,45.2966,11.9951,82.02,50,95,4.0,IT,1631358911
Galliano,29.4422,-90.2992,73.99,73,1,4.61,US,1631358912
Bobingen,48.2667,10.8333,70.65,77,75,10.36,DE,1631358912
Newton,42.337,-71.2092,56.16,86,1,1.01,US,1631358789
Capdepera,39.7026,3.4336,87.57,60,12,5.12,ES,1631358914
Borehamwood,51.6547,-0.2776,71.01,74,40,1.01,GB,1631358914
Hot Springs Village,34.6655,-93.01,65.86,86,0,3.24,US,1631358915
Juvisy-sur-Orge,48.6833,2.3833,72.59,62,40,8.05,FR,1631358916
Qina,26.1642,32.7267,98.91,12,0,15.41,EG,1631358916
Ílhavo,40.5999,-8.6673,82.9,58,100,1.57,PT,1631358917
Qahderījān,32.5767,51.455,88.75,10,0,6.78,IR,1631358918
Teplodar,46.5059,30.3252,82.04,26,100,8.12,UA,1631358919
Kamen'-Rybolov,44.7481,132.0403,58.87,91,95,3.91,RU,1631358919
Rosate,45.3529,9.0172,84.42,48,61,3.0,IT,1631358920
Warburg,51.5,9.1667,70.66,61,43,10.83,DE,1631358921
Vandœuvre-lès-Nancy,48.65,6.1833,71.78,61,75,8.05,FR,1631358921
Valderrama,11.4059,122.0837,80.76,79,100,6.38,PH,1631358922
Solotvyno,47.946,23.8703,72.19,43,98,3.2,UA,1631358923
Feldkirchen bei Graz,46.9967,15.4526,77.32,51,20,3.44,AT,1631358924
Port Macquarie,-31.4333,152.9167,55.36,78,0,7.29,AU,1631358849
Giv‘atayim,32.0697,34.8117,84.33,54,40,16.11,IL,1631358925
Catonsville,39.272,-76.7319,59.16,92,20,5.75,US,1631358926
Hazel Dell,45.6715,-122.6629,60.17,85,75,0.0,US,1631358813
Hoktember,40.1321,44.0097,88.27,20,0,9.28,AM,1631358927
Novaci,45.1833,23.6667,75.6,29,80,5.61,RO,1631358928
Union Beach,40.4465,-74.1782,63.18,88,1,1.01,US,1631358929
Frecheirinha,-3.76,-40.8164,80.8,66,66,8.77,BR,1631358930
Lumbayanague,7.7825,124.28,70.16,91,100,2.73,PH,1631358930
Gemeente Naarden,52.2833,5.15,68.22,93,100,8.99,NL,1631358931
Giurgiu,43.8833,25.9667,86.59,17,20,5.26,RO,1631358932
San Javier,37.8063,-0.8374,89.8,61,0,7.0,ES,1631358932
Havelock,34.8791,-76.9013,65.95,92,0,4.34,US,1631358933
Schinnen,50.9433,5.8889,70.16,74,75,5.99,NL,1631358934
Stung Treng,13.5259,105.9683,75.13,98,100,6.58,KH,1631358935
Laguna Larga,-31.7765,-63.801,51.85,70,7,9.17,AR,1631358935
Bretzfeld,49.1794,9.4383,75.13,76,91,8.39,DE,1631358936
Bexley,39.9689,-82.9377,57.72,93,1,0.0,US,1631358937
Bunde,53.1833,7.2667,67.96,91,90,13.2,DE,1631358937
Sales Oliveira,-20.7719,-47.8381,71.29,56,84,7.56,BR,1631358938
Sumé,-7.6717,-36.88,74.08,57,19,15.84,BR,1631358939
Utrera,37.1852,-5.7809,88.56,33,0,2.3,ES,1631358939
Fairmount,43.0473,-76.2385,58.55,93,75,1.99,US,1631358718
Mali Zvornik,44.3734,19.1065,81.72,30,0,5.53,RS,1631358941
Isangel,-19.55,169.2667,68.68,76,15,11.74,VU,1631358942
Webster,42.0501,-71.8801,53.8,91,0,4.25,US,1631358943
Lieto,60.5103,22.4618,66.02,89,90,2.3,FI,1631358944
Tougue,11.4667,-11.6,76.77,71,98,3.42,GN,1631358945
Itabira,-19.6192,-43.2269,73.42,54,84,2.86,BR,1631358945
Falmouth,50.1544,-5.0711,66.78,88,40,1.99,GB,1631358946
Loreto Aprutino,42.4292,13.9809,82.0,61,20,8.05,IT,1631358947
Souloulou,14.3157,7.4165,93.16,42,64,10.4,NE,1631358948
Tublay,16.5431,120.6096,67.8,98,100,2.95,PH,1631358948
Oak Park,41.885,-87.7845,66.9,76,20,3.0,US,1631358918
Progress,40.2851,-76.8314,57.72,89,1,1.99,US,1631358949
Casal Velino,40.1911,15.113,79.18,81,100,1.43,IT,1631358950
Nishinomiya,34.7167,135.3333,78.82,86,75,2.3,JP,1631358951
Otsego,45.2741,-93.5913,66.54,90,45,9.22,US,1631358952
Serang,-6.1149,106.1502,83.97,74,36,4.54,ID,1631358952
Ruskington,53.0454,-0.3869,72.55,61,75,16.11,GB,1631358954
Jarocin,51.9727,17.5026,64.08,54,9,8.97,PL,1631358954
Kashan,33.9831,51.4364,96.33,11,0,5.88,IR,1631358955
Jouy-en-Josas,48.7591,2.1697,70.52,64,75,11.5,FR,1631358956
Ban Tha Phra,16.3379,102.8029,86.29,74,75,3.44,TH,1631358957
Winsum,53.33,6.5208,68.02,31,100,14.18,NL,1631358958
Horsham,51.064,-0.3272,71.82,71,75,8.05,GB,1631358958
Pagudpud,18.5616,120.7868,78.82,92,100,20.24,PH,1631358959
Lye,47.2282,1.4733,68.67,77,90,2.3,FR,1631358960
Khasavyurt,43.25,46.5881,78.91,44,0,19.44,RU,1631358961
Triggiano,41.0667,16.926,79.75,58,0,4.0,IT,1631358962
Bridgewater,44.3835,-64.5155,59.72,87,18,10.0,CA,1631358962
Morris,40.8334,-74.5329,58.86,85,1,0.0,US,1631358783
Oakville,43.4501,-79.6829,64.85,85,100,8.41,CA,1631358794
Catarina,14.85,-92.0833,77.9,89,100,3.11,GT,1631358965
Ebensfeld,50.0664,10.9584,72.73,71,97,5.91,DE,1631358965
Teteles de Avila Castillo,19.8667,-97.4333,53.98,83,19,3.11,MX,1631358966
Cochituate,42.3209,-71.3642,56.44,86,1,1.01,US,1631358967
Lábrea,-7.2586,-64.7981,73.11,88,13,1.72,BR,1631358968
Oliveira do Bairro,40.5146,-8.4939,81.34,58,100,1.01,PT,1631358969
Heilbad Heiligenstadt,51.3833,10.1333,70.29,71,46,3.0,DE,1631358969
Guged,33.4756,50.3555,89.38,10,0,5.53,IR,1631358970
Sievi,63.9,24.5,56.41,96,100,4.61,FI,1631358971
Neugersdorf,50.9667,14.6167,68.32,68,99,6.69,DE,1631358972
Jūrmala,56.968,23.7704,73.85,68,0,5.75,LV,1631358972
Pedras de Fogo,-7.4019,-35.1164,79.43,67,98,11.54,BR,1631358973
Spiesen-Elversberg,49.3167,7.1333,68.99,76,40,1.99,DE,1631358974
Bālurghāt,25.2167,88.7667,88.38,67,94,0.49,IN,1631358975
Schrems,48.7833,15.0667,76.05,59,26,8.01,AT,1631358975
El Mirage,33.6131,-112.3246,88.65,49,20,1.99,US,1631358872
Ponta Porã,-22.5361,-55.7256,62.91,47,99,6.78,BR,1631358977
Oberá,-27.4871,-55.1199,52.47,89,20,2.53,AR,1631358977
Tabio,4.9173,-74.0936,51.4,96,100,2.15,CO,1631358978
Zumarraga,11.6388,124.8417,80.33,82,98,1.97,PH,1631358979
San Francisco,37.7749,-122.4194,62.47,90,20,4.0,US,1631358338
East Flat Rock,35.2801,-82.4221,58.33,97,0,2.48,US,1631358980
Tinoc,16.6755,120.9364,63.27,99,100,3.56,PH,1631358981
Carlentini,37.2696,15.0126,82.11,74,40,14.97,IT,1631358981
Prudente de Morais,-19.4819,-44.155,77.25,38,42,5.46,BR,1631358982
Bom Retiro do Sul,-29.6089,-51.9431,59.36,88,22,3.62,BR,1631358983
Jatibonico,21.9419,-79.17,71.92,93,54,5.23,CU,1631358984
Monte San Pietro,44.4378,11.1357,86.23,40,0,1.01,IT,1631358984
Rorschacherberg,47.4688,9.4946,75.02,73,20,5.75,CH,1631358985
Masantol,14.85,120.7,78.94,91,100,6.24,PH,1631358986
North Manchester,41.0006,-85.7686,64.54,86,68,10.71,US,1631358986
Ternovka,48.5193,36.0967,82.8,23,7,9.15,UA,1631358987
Heusenstamm,50.0667,8.8,71.65,74,40,11.5,DE,1631358988
Sovetskaya Gavan',48.9723,140.2878,54.9,92,99,13.94,RU,1631358989
Roodepoort,-26.1625,27.8725,76.3,32,0,1.01,ZA,1631358989
Castelfranco Emilia,44.5958,11.052,85.8,36,0,3.44,IT,1631358990
Palos de la Frontera,37.2346,-6.8947,81.18,50,37,9.53,ES,1631358991
Imbituba,-28.24,-48.6703,64.29,79,41,3.36,BR,1631358992
Kalgoorlie-Boulder,-30.75,121.4667,55.26,67,40,16.11,AU,1631358992
North Weeki Wachee,28.5501,-82.5589,77.14,87,1,3.44,US,1631358993
Huilong,31.8111,121.655,78.98,87,19,11.86,CN,1631358994
Chililabombwe,-12.3648,27.8229,80.6,23,1,9.24,ZM,1631358995
Ujjain,23.1833,75.7667,85.08,87,100,9.82,IN,1631358995
Remanzacco,46.0867,13.3244,83.61,44,34,1.99,IT,1631358996
Centerville,39.6284,-84.1594,59.43,90,1,8.05,US,1631358997
Meyreuil,43.4878,5.4957,83.91,44,0,1.99,FR,1631358998
Givet,50.138,4.8255,67.05,83,75,10.36,FR,1631358998
Podu Iloaiei,47.2167,27.2667,81.93,24,98,4.79,RO,1631358999
Lake Murray of Richland,34.1205,-81.2645,59.74,96,0,3.06,US,1631359000
Greenville,35.6127,-77.3663,58.98,94,1,0.0,US,1631359000
Runkel,50.4,8.1667,72.63,68,55,8.48,DE,1631359001
Montelepre,38.0904,13.1743,77.86,77,40,4.61,IT,1631359002
Kornwestheim,48.8616,9.1857,74.17,71,75,4.61,DE,1631359003
Lamu,-2.2717,40.902,84.42,66,29,16.75,KE,1631359003
New Albany,38.2856,-85.8241,61.57,90,20,1.01,US,1631358751
Mato Verde,-15.3972,-42.8664,76.6,39,10,6.08,BR,1631359005
Longwan,30.2332,112.7059,80.42,70,72,5.64,CN,1631359005
Pivijay,10.4617,-74.6162,78.89,95,100,7.96,CO,1631359006
Pangkalpinang,-2.1333,106.1333,82.09,74,93,7.11,ID,1631358741
Bleiswijk,52.0108,4.5319,68.16,86,75,8.05,NL,1631359008
Tell City,37.9514,-86.7678,66.85,97,90,5.75,US,1631358907
Sury-le-Comtal,45.5333,4.1667,73.6,60,40,5.75,FR,1631359009
Clanton,32.8387,-86.6294,65.88,94,0,5.32,US,1631359010
São Pedro da União,-21.1267,-46.6153,70.11,67,96,5.32,BR,1631359011
Comendador,18.8775,-71.7028,71.47,86,66,2.46,DO,1631359012
Camerota,40.0325,15.3728,67.03,76,100,3.76,IT,1631359013
Mayskiy,47.6931,40.1025,81.81,21,0,10.33,RU,1631359013
Welkom,-27.9864,26.7066,76.98,19,2,6.17,ZA,1631359014
Bragança,-1.0536,-46.7656,81.64,69,3,6.26,BR,1631358751
Mt. Pleasant,32.7941,-79.8626,68.99,97,1,3.0,US,1631359015
Lubeck,39.2354,-81.6312,51.58,86,27,2.75,US,1631359016
Certosa di Pavia,45.2542,9.1329,83.84,47,61,3.36,IT,1631359017
Terville,49.3471,6.138,71.96,72,81,5.01,FR,1631359017
Jianguang,28.1938,115.7836,81.9,75,46,6.24,CN,1631359018
Saint-Cannat,43.6167,5.3,82.35,54,0,8.05,FR,1631359019
Glassmanor,38.819,-76.9986,60.48,89,75,0.0,US,1631359019
Ketsch,49.3678,8.5311,72.81,70,75,5.75,DE,1631359020
Plato,9.7903,-74.7824,74.08,97,98,8.34,CO,1631359021
Estevan,49.1334,-102.9842,48.54,81,40,5.75,CA,1631359022
Seydi,39.4816,62.9137,82.87,8,0,12.46,TM,1631359022
Bagan,54.1001,77.6646,52.45,83,100,2.33,RU,1631359023
Maltahöhe,-24.8333,16.9833,87.67,16,0,16.11,NA,1631359024
El Rosario,24.2556,-107.1828,78.15,96,27,4.65,MX,1631359024
Thalgau,47.8333,13.25,70.65,68,40,4.61,AT,1631359025
Martins Ferry,40.0959,-80.7245,57.61,94,1,8.05,US,1631359026
Kangning,23.9757,108.821,84.76,64,57,1.61,CN,1631359027
Severn,39.1371,-76.6983,60.24,93,20,5.75,US,1631359012
Bafoussam,5.4737,10.4179,68.67,83,100,2.44,CM,1631359028
Vinces,-1.55,-79.7333,69.87,83,98,5.19,EC,1631359029
Rome,43.2128,-75.4557,56.41,95,1,0.0,US,1631359030
San Gimignano,43.4692,11.0427,87.57,28,56,3.0,IT,1631359030
Castelli,-25.9468,-60.6195,57.0,55,0,4.63,AR,1631359031
Bandio,11.6783,-3.2638,86.65,58,99,1.3,BF,1631359032
Khrestivka,46.4028,33.717,80.78,28,50,11.14,UA,1631359033
Nyack,41.0906,-73.9179,62.06,79,1,5.75,US,1631359033
Warsaw,52.2298,21.0118,76.86,46,0,1.01,PL,1631358753
Plainsboro,40.3334,-74.6004,61.81,96,1,0.0,US,1631359034
Jiaxing,30.7522,120.75,80.62,96,8,8.12,CN,1631359035
Galliera,44.7493,11.3937,86.18,40,100,4.07,IT,1631359036
Luanda,-8.8368,13.2343,75.94,73,61,8.93,AO,1631359037
Stafford,52.8052,-2.1164,70.38,42,100,9.95,GB,1631359037
Kulti,23.7333,86.85,85.24,64,79,10.45,IN,1631359038
Obernai,48.4631,7.481,76.57,83,75,3.44,FR,1631359039
Chu,43.5983,73.7614,80.01,20,0,7.65,KZ,1631359040
Sabino,-21.4597,-49.5783,73.83,47,54,8.75,BR,1631359041
Standerton,-26.9337,29.2415,78.62,9,1,3.4,ZA,1631359041
Lusambo,-4.9667,23.45,98.31,20,76,5.79,CD,1631359042
Santa Maria di Sala,45.5069,12.0297,82.9,51,96,2.91,IT,1631359043
Stakhanov,48.5682,38.6435,79.25,28,7,8.21,UA,1631359044
Floirac,44.8324,-0.5141,76.91,57,20,4.61,FR,1631359044
Gifford,27.6753,-80.4092,75.2,94,1,3.44,US,1631359045
Zarat,29.1049,52.8416,91.08,8,1,4.76,IR,1631359046
Canandaigua,42.8742,-77.288,58.33,93,100,7.29,US,1631358764
Serino,40.8548,14.8722,78.31,47,100,4.18,IT,1631359048
Kalocsa,46.5264,18.9858,84.06,20,6,4.0,HU,1631359048
Istmina,5.1605,-76.684,72.77,99,100,2.08,CO,1631359049
Großräschen,51.5833,14.0,72.3,78,88,8.9,DE,1631359050
Bowie,33.4501,-94.4335,64.99,85,0,4.27,US,1631359051
Pavlohrad,48.5167,35.8667,83.35,23,8,9.01,UA,1631358968
Villars,45.4712,4.3545,72.64,60,40,5.75,FR,1631359052
Daxincun,24.1224,102.808,67.57,73,0,3.18,CN,1631359054
Călăraşi,47.2544,28.3081,81.55,28,100,6.62,MD,1631359054
Chinsali,-10.5414,32.0816,76.28,33,26,9.62,ZM,1631359055
Salem,11.65,78.1667,89.31,51,95,5.61,IN,1631359036
Terras de Bouro Municipality,41.7269,-8.3407,72.86,43,97,3.22,PT,1631359056
Campbelltown,-34.0667,150.8167,70.72,37,0,5.39,AU,1631359057
Caiapônia,-16.9567,-51.8103,76.39,45,6,10.49,BR,1631359058
Polotitlán de la Ilustración,20.2167,-99.8167,50.52,93,69,3.83,MX,1631359058
Shaowu,27.3409,117.4831,79.09,87,48,3.38,CN,1631359059
Thornton,39.868,-104.9719,76.21,31,1,3.44,US,1631358930
Hügelsheim,48.8,8.1167,73.76,68,40,6.91,DE,1631359061
Barra dos Coqueiros,-10.9089,-37.0386,80.62,69,40,9.22,BR,1631359062
Lieksa,63.3167,30.0167,52.21,84,100,2.68,FI,1631359062
Puerto Baquerizo Moreno,-0.9,-89.6,68.7,85,82,13.18,EC,1631359063
Andijan,40.7821,72.3442,83.55,13,5,7.49,UZ,1631359064
Stupava,48.2747,17.0317,80.42,39,0,3.44,SK,1631359065
Wildeshausen,52.9,8.4333,68.11,88,56,13.38,DE,1631359066
Estaires,50.6457,2.7278,69.89,78,100,13.42,FR,1631359067
Saguday,16.5428,121.5638,75.18,96,100,2.84,PH,1631359067
Gulu,2.7746,32.299,79.5,60,38,2.19,UG,1631359068
Arzgir,45.3728,44.2206,79.09,30,51,14.38,RU,1631359069
